day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-04-12.9,2.0,u59,2013-04-12,2013-04-12,25.0,91.0,5.848888888888889,2.0
2013-04-15.7,1.0,u59,2013-04-15,2013-04-15,25.0,296.0,7.450555555555556,3.0
2013-04-15.8,2.0,u59,2013-04-15,2013-04-15,25.0,296.0,7.450555555555556,3.0
2013-04-13.5,4.0,u59,2013-04-13,2013-04-13,29.0,159.0,5.351111111111111,0.0
2013-04-16.6,4.0,u59,2013-04-16,2013-04-16,13.0,128.0,4.721666666666667,1.0
2013-04-16.7,1.0,u59,2013-04-16,2013-04-16,13.0,128.0,4.721666666666667,1.0
2013-04-17.6,2.0,u59,2013-04-17,2013-04-17,26.0,99.0,4.3975,1.0
2013-04-17.7,1.0,u59,2013-04-17,2013-04-17,26.0,99.0,4.3975,1.0
2013-04-17.8,4.0,u59,2013-04-17,2013-04-17,26.0,99.0,4.3975,1.0
2013-04-18.6,1.0,u59,2013-04-18,2013-04-18,27.0,143.0,8.277222222222223,1.0
2013-04-18.7,4.0,u59,2013-04-18,2013-04-18,27.0,143.0,8.277222222222223,1.0
2013-04-19,1.0,u59,2013-04-19,2013-04-19,24.0,128.0,10.507222222222222,2.0
2013-04-19.1,4.0,u59,2013-04-19,2013-04-19,24.0,128.0,10.507222222222222,2.0
2013-04-19.2,5.0,u59,2013-04-19,2013-04-19,24.0,128.0,10.507222222222222,2.0
2013-04-20,4.0,u59,2013-04-20,2013-04-20,28.0,111.0,6.1825,0.0
2013-04-20.1,1.0,u59,2013-04-20,2013-04-20,28.0,111.0,6.1825,0.0
2013-04-29.2,1.0,u59,2013-04-29,2013-04-29,24.0,42.0,7.97,2.0
2013-04-29.3,2.0,u59,2013-04-29,2013-04-29,24.0,42.0,7.97,2.0
2013-04-29.4,4.0,u59,2013-04-29,2013-04-29,24.0,42.0,7.97,2.0
2013-04-22.3,1.0,u59,2013-04-22,2013-04-22,23.0,25.0,5.166944444444445,3.0
2013-04-23.1,1.0,u59,2013-04-23,2013-04-23,25.0,39.0,13.378333333333334,1.0
2013-04-23.2,3.0,u59,2013-04-23,2013-04-23,25.0,39.0,13.378333333333334,1.0
2013-04-24,1.0,u59,2013-04-24,2013-04-24,21.0,36.0,4.219722222222222,0.0
2013-04-24.1,4.0,u59,2013-04-24,2013-04-24,21.0,36.0,4.219722222222222,0.0
2013-04-25,4.0,u59,2013-04-25,2013-04-25,23.0,39.0,9.632222222222222,1.0
2013-04-25.1,1.0,u59,2013-04-25,2013-04-25,23.0,39.0,9.632222222222222,1.0
2013-04-30.2,3.0,u59,2013-04-30,2013-04-30,24.0,50.0,13.432222222222222,2.0
2013-05-02,4.0,u59,2013-05-02,2013-05-02,28.0,50.0,15.5925,1.0
2013-05-02.1,1.0,u59,2013-05-02,2013-05-02,28.0,50.0,15.5925,1.0
2013-05-03.3,4.0,u59,2013-05-03,2013-05-03,26.0,76.0,11.717777777777778,2.0
2013-05-03.4,1.0,u59,2013-05-03,2013-05-03,26.0,76.0,11.717777777777778,2.0
2013-05-09.1,4.0,u59,2013-05-09,2013-05-09,21.0,45.0,6.687222222222222,1.0
2013-05-06.2,1.0,u59,2013-05-06,2013-05-06,25.0,45.0,5.700833333333334,2.0
2013-05-06.3,4.0,u59,2013-05-06,2013-05-06,25.0,45.0,5.700833333333334,2.0
2013-05-12,3.0,u59,2013-05-12,2013-05-12,30.0,51.0,3.939722222222223,0.0
2013-05-07,1.0,u59,2013-05-07,2013-05-07,24.0,37.0,4.605555555555555,2.0
2013-05-07.1,4.0,u59,2013-05-07,2013-05-07,24.0,37.0,4.605555555555555,2.0
2013-05-11,3.0,u59,2013-05-11,2013-05-11,24.0,48.0,0.3761111111111111,0.0
2013-05-11.1,2.0,u59,2013-05-11,2013-05-11,24.0,48.0,0.3761111111111111,0.0
2013-05-15,2.0,u59,2013-05-15,2013-05-15,37.0,66.0,4.8225,0.0
2013-05-18,4.0,u59,2013-05-18,2013-05-18,19.0,54.0,9.031944444444443,0.0
2013-05-18.1,1.0,u59,2013-05-18,2013-05-18,19.0,54.0,9.031944444444443,0.0
2013-05-19.1,4.0,u59,2013-05-19,2013-05-19,25.0,44.0,5.890555555555555,0.0
2013-05-21.1,1.0,u59,2013-05-21,2013-05-21,23.0,33.0,8.710833333333333,0.0
2013-05-21.2,4.0,u59,2013-05-21,2013-05-21,23.0,33.0,8.710833333333333,0.0
2013-05-23,4.0,u59,2013-05-23,2013-05-23,13.0,15.0,3.2980555555555555,0.0
2013-05-27,2.0,u59,2013-05-27,2013-05-27,24.0,51.0,6.678888888888889,0.0
2013-05-27.1,4.0,u59,2013-05-27,2013-05-27,24.0,51.0,6.678888888888889,0.0
2013-05-24,1.0,u59,2013-05-24,2013-05-24,24.0,40.0,8.338333333333333,1.0
2013-05-30,5.0,u59,2013-05-30,2013-05-30,25.0,49.0,5.814722222222223,0.0
2013-05-30.1,2.0,u59,2013-05-30,2013-05-30,25.0,49.0,5.814722222222223,0.0
2013-05-26,4.0,u59,2013-05-26,2013-05-26,22.0,35.0,3.945555555555556,0.0
2013-05-29,2.0,u59,2013-05-29,2013-05-29,23.0,49.0,9.31277777777778,1.0
2013-06-01,1.0,u59,2013-06-01,2013-06-01,17.0,45.0,1.788333333333333,0.0
2013-06-01.1,5.0,u59,2013-06-01,2013-06-01,17.0,45.0,1.788333333333333,0.0
2013-06-06,4.0,u59,2013-06-06,2013-06-06,23.0,37.0,,
2013-06-02,4.0,u59,2013-06-02,2013-06-02,22.0,22.0,,0.0
2013-06-04,4.0,u59,2013-06-04,2013-06-04,22.0,23.0,,0.0
2013-06-07,4.0,u59,2013-06-07,2013-06-07,24.0,33.0,,
2013-04-01.5,1.0,u10,2013-04-01,2013-04-01,24.0,24.0,4.357777777777778,0.0
2013-04-01.6,4.0,u10,2013-04-01,2013-04-01,24.0,24.0,4.357777777777778,0.0
2013-04-03.14,4.0,u10,2013-04-03,2013-04-03,24.0,24.0,5.576666666666667,0.0
2013-04-03.15,1.0,u10,2013-04-03,2013-04-03,24.0,24.0,5.576666666666667,0.0
2013-04-03.16,5.0,u10,2013-04-03,2013-04-03,24.0,24.0,5.576666666666667,0.0
2013-03-30.6,2.0,u10,2013-03-30,2013-03-30,24.0,24.0,3.9588888888888887,0.0
2013-03-30.7,1.0,u10,2013-03-30,2013-03-30,24.0,24.0,3.9588888888888887,0.0
2013-03-30.8,4.0,u10,2013-03-30,2013-03-30,24.0,24.0,3.9588888888888887,0.0
2013-03-31.8,1.0,u10,2013-03-31,2013-03-31,24.0,24.0,0.9158333333333332,1.0
2013-03-31.9,4.0,u10,2013-03-31,2013-03-31,24.0,24.0,0.9158333333333332,1.0
2013-04-02.8,4.0,u10,2013-04-02,2013-04-02,24.0,24.0,8.315277777777778,0.0
